category,english_name,english_description,image_url,prompt,german_name,german_description
Hilfsmittel,Long Cane,"An image of a long cane, unfolded and folded.",https://www.lag-sb-rlp.de/images/phocagallery/Hilfsmittel/thumbs/phoca_thumb_l_langstock-cmyk.jpg,"Cartoon picture of Long Cane - An image of a long cane, unfolded and folded.",Langstock,"Abgebildet ist ein Langstock, der ausgeklappt ist und ein Langstock, der zusammengeklappt ist."
Hilfsmittel,Induction Loop,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_induktionsschleife-rgb.jpg,"Cartoon picture of Induction Loop - The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",Induktionsschleife,"Auf dem Bild sieht man drei Personen an einem Tisch. Eine Dame haelt im Stehen einen Vortrag, traegt eine Induktionsschleife um den Hals und zeigt dabei zwei Dokumente. Daneben sitzt ein gehoerloser Mann mit einem Hoergeraet im rechten Ohr, wodurch er sie hoeren kann. Auf seiner rechten Seite sitzt noch eine Dame am Laptop. "
Hilfsmittel,Forearm Prosthesis,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",https://www.lag-sb-rlp.de/images/phocagallery/Hilfsmittel/thumbs/phoca_thumb_l_unterarm-prothese-cmyk.jpg,"Cartoon picture of Forearm Prosthesis - An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",Unterarmprothese,"Abgebildet ist ein Arm, dessen Unterarm, ab dem Ellenbogen, fehlt. Daneben ist eine Prothese abgebildet. Ein roter Pfeil zeigt von der Prothese zum Arm."
Hilfsmittel,Hearing Aid,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hrgert.jpg,Cartoon picture of Hearing Aid - A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,Hoergeraet,"Ein Mann und eine Frau sprechen miteinander. Der Mann traegt ein Hoergeraet im rechten Ohr und versteht, was die Frau zu ihm sagt. "
Hilfsmittel,Transfer Aids,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d16-transferhilfen-cmyk.jpg,"Cartoon picture of Transfer Aids - Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",Transferhilfen,"Auf dem Bild sind zwei Transferhilfen eingezeichnet, auf die sich Personen stuetzen koennten und mit ihrer Hilfe sichbesser -  fortbewegen koennen."
Erkrankung/Krankheitsbild,HIV Test (Negative),Depicted is a negative HIV test. The test result shows one line.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hivtest-negativ-rgb.jpg,Cartoon picture of HIV Test (Negative) - Depicted is a negative HIV test. The test result shows one line.,HIV-Test (negativ),Abgebildet ist ein negativer HIV-Test. Das Testergebnis zeigt einen Strich. 
Erkrankung/Krankheitsbild,Binge Eating,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_esssucht-rgb.jpg,"Cartoon picture of Binge Eating - A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",Esssucht,"Ein Mann sitzt am Tisch um drei Uhr nachts und isst. Auf dem Tisch sind ein Grillhaehnchen, Suessigkeiten, Eier, Burger, Kaese, Avocado und vieles mehr. "
Erkrankung/Krankheitsbild,Endometriosis,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a2-endometriose-cmyk.jpg,"Cartoon picture of Endometriosis - This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",Endometriose,"Das ist eine chronische Erkrankung bei Frauen, bei der Gebärmutterschleimhaut außerhalb der Gebärmutterhöle wächst und Entzündungen auftreten. Zum Bild: Eine Frau ist nackt abgebildet. Ihre Eierstöcke, ihre Gebärmutter und ihre Lunge sind eingezeichnet. Die Organe weisen Entzündungen auf."
Erkrankung/Krankheitsbild,MS Episode,The upper body of a woman is depicted. Her spine is drawn. The lumbar area is highlighted. The woman touches the spot with one hand.,https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a93-ms-schub-cmyk.jpg,Cartoon picture of MS Episode - The upper body of a woman is depicted. Her spine is drawn. The lumbar area is highlighted. The woman touches the spot with one hand.,MS-Schub,Der Oberkoerper einer Frau ist abgebildet. Ihre Wirbelsaeule ist eingezeichnet. Der Bereich der Lenden ist hervorgehoben. Die Frau fasst sich mit einer Hand an die Stelle.
Erkrankung/Krankheitsbild,Manic Phase (Bipolar Disorder),"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a6-manische-phase-cmyk.jpg,"Cartoon picture of Manic Phase (Bipolar Disorder) - A person is split down the middle from top to bottom. On the right, they are wearing an orange T-shirt, raising their arm excitedly, and appear enthusiastic. In their thought bubble are symbols of a heart, a lightning bolt, a euro sign, and a clock. On the left, the person is wearing a gray T-shirt, slumping their shoulder and head, and appears sad. In the thought bubble, there is a cemetery in rainy weather. Below the person, a red curve is drawn. Smiling emojis are drawn at the peaks, and sad emojis are drawn at the troughs.",Manische Phase (bipolare Stoerung),"Eine Person reisst die Arme in die Luft. Sie wirkt begeistert. In ihrer Gedankenblase sieht man die Symbole Herz, Blitz, Euro-Zeichen und Uhr."
Wohnen,Bedroom,"Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_zimmer-eingerichtet-rgb.jpg,"Cartoon picture of Bedroom - Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",Schlafzimmer,"Abgebildet ist ein Schlafzimmer mit Bett, Nachttisch, Wandbild, Sessel, Stehlampe, Zimmerpflanze und Teppich. "
Wohnen,Bathroom,"Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_badezimmer-rgb.jpg,"Cartoon picture of Bathroom - Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",Badezimmer,"Abgebildet ist ein Badezimmer mit Toilette, Haengeregalen, Waschbecken, Spiegel und einer Duschkabine. "
Wohnen,Hygiene Products,"Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hygieneartikel-rgb.jpg,"Cartoon picture of Hygiene Products - Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",Hygieneartikel,"Abgebildet sind folgende Hygieneartikel: Seife, Rasierschaum, Duschgel, Zahnpasta und Zahnbuerste."
Wohnen,Twin Room,"Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_zweibettzimmer-rgb.jpg,"Cartoon picture of Twin Room - Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",Zweibettzimmer,"Abgebildet ist ein Schlafzimmer mit zwei getrennten BEtten, Schraenken, Sesseln, NAchttischenb und Wandbildern. "
Wohnen,Multi-family House,Depicted is a four-story apartment building.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hausansicht-rgb.jpg,Cartoon picture of Multi-family House - Depicted is a four-story apartment building.,Mehrfamilienhaus,Abgebildet ist ein vierstoeckiges Mehrfamilienhaus. 
Aerztliche Behandlung,Early Detection,"A woman leans over the back of a man. She looks at a large, dark mole through a magnifying glass. In one of her thought bubbles, a warning triangle is drawn, and in the other thought bubble, it can be seen how the mole is removed.",https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d58-frueherkennung-cmyk.jpg,"Cartoon picture of Early Detection - A woman leans over the back of a man. She looks at a large, dark mole through a magnifying glass. In one of her thought bubbles, a warning triangle is drawn, and in the other thought bubble, it can be seen how the mole is removed.",Frueherkennung,"Eine Frau beugt sich ueber den Ruecken eines Mannes. Durch eine Lupe betrachtet sie einen grossen, dunklen Leberfleck. In ihrer einen Gedankenblase ist ein Warndreieck eingezeichnet, in der anderen Gedankenblase erkennt man, wie der Leberfleck entfernt wird."
Aerztliche Behandlung,Psychiatry,In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_psychatrie-cmyk.jpg,Cartoon picture of Psychiatry - In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,Psychatrie,"Im Hintergrund ist ein grosses Gebaeude mit einem Schild ""Psychatrie"". Im Vordergrund steht eine junge Frau, die besorgt/skeptisch wirkt. Eine aeltere Frau greift ihre Hand."
Aerztliche Behandlung,Chest X-ray,A young lady stands at an X-ray machine. A chest X-ray is being taken of her lungs.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_lungenroentgen-rgb.jpg,Cartoon picture of Chest X-ray - A young lady stands at an X-ray machine. A chest X-ray is being taken of her lungs.,Lungenroentgen,Eine junge Dame steht an einem Roentgengeraet. Ihr wird ein Lungenroentgen gemacht. 
Aerztliche Behandlung,EEG - Electroencephalography,"A girl is undergoing an EEG. On the right side of the image, you can see how the nerve cells of the brain produce electrical currents.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_eeg-rgb.jpg,"Cartoon picture of EEG - Electroencephalography - A girl is undergoing an EEG. On the right side of the image, you can see how the nerve cells of the brain produce electrical currents.",EEGElektroenzephalographie,"Einem Maedchen wird ein EEG gemacht. Rechts im Bild sieht man, wie die Nervenzellen des Gehirns elektrische Stroeme erzeugen. "
Aerztliche Behandlung,Colonoscopy,"A woman lies sideways on an examination couch in a doctor's office. Her eyes are closed. Her intestines are drawn. Behind her, a man in a white coat looks at a monitor and examines the internal view of the intestine.",https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d11-darmspiegelung-cmyk.jpg,"Cartoon picture of Colonoscopy - A woman lies sideways on an examination couch in a doctor's office. Her eyes are closed. Her intestines are drawn. Behind her, a man in a white coat looks at a monitor and examines the internal view of the intestine.",Darmspiegelung,Eine Frau liegt in einem Arztzimmer seitlich auf einer Liege. Ihre Augen sind geschlossen. Ihr Darm ist eingezeichnet. Hinter ihr schaut ein Mann in weissem Kittel auf einen Monitor und betrachtet die Innenaufnahme des Darms.
Personen,Group Leader,"7 people, including women and men, sit in a circle of chairs. A woman with a confident posture speaks to the rest of the group.",https://www.lag-sb-rlp.de/images/phocagallery/Personen/thumbs/phoca_thumb_l_gruppenleiterin-cmyk.jpg,"Cartoon picture of Group Leader - 7 people, including women and men, sit in a circle of chairs. A woman with a confident posture speaks to the rest of the group.",Gruppenleiterin,"7 Personen, darunter Frauen und Maenner, sitzen in einem Stuhlkreis. Eine Frau mit selbstbewusster Haltung spricht zu dem Rest der Gruppe."
Personen,Assistance for People with Visual Impairments,A young man accompanies a lady with visual impairment.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_assistenz-fr-menschen-mit-einer-sehbehinderung-.jpg,Cartoon picture of Assistance for People with Visual Impairments - A young man accompanies a lady with visual impairment.,Assistenz fuer Menschen mit Sehbehinderung,Ein junger Mann begleitet eine Dame mit Sehbehinderung. 
Personen,Child with Minor Heart Defect,Illustration of a little boy riding a tricycle. His heart is depicted.,https://www.lag-sb-rlp.de/images/phocagallery/Personen/thumbs/phoca_thumb_l_kind-kleiner-herzfehler-cmyk.jpg,Cartoon picture of Child with Minor Heart Defect - Illustration of a little boy riding a tricycle. His heart is depicted.,Kind mit kleinem Herzfehler,"Abbildung von kleinem Jungen, der Dreirad faehrt. Sein Herz ist eingezeichnet."
Personen,Adult with Heart Defect,A man looks down at his chest. His heart is depicted.,https://www.lag-sb-rlp.de/images/phocagallery/Personen/thumbs/phoca_thumb_l_f56-erwachsener-mit-herzfehler-cmyk.jpg,Cartoon picture of Adult with Heart Defect - A man looks down at his chest. His heart is depicted.,Erwachsener mit Herzfehler,Ein Mann schaut auf seinen Brustkorb herab. Sein Herz ist eingezeichnet.
Personen,Care Assistant,Depicted are two young men. One man shaves the other man in a wheelchair.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_pflegeassistenz.jpg,Cartoon picture of Care Assistant - Depicted are two young men. One man shaves the other man in a wheelchair.,Pflegeassistenz,Abgebildet sind zwei junge Herren. Ein Mann rasiert den anderen Mann im Rollstuhl.
Taetigkeiten,Shuttle Service,"The picture shows a white minivan with a blue and white symbol of a wheelchair user, into which a lady is just getting in. The driver is helping her. In front of the van, there are four other persons with various disabilities.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_fahrdienst.jpg,"Cartoon picture of Shuttle Service - The picture shows a white minivan with a blue and white symbol of a wheelchair user, into which a lady is just getting in. The driver is helping her. In front of the van, there are four other persons with various disabilities.",Fahrdienst ,"Auf dem Bild sieht man einen weissen Minivan mit einem blau-weissen Symbol eines Rollstuhlfahrers, in den gerade eine Dame einsteigt. Der Fahrer hilft ihr dabei. Vor dem Van stehen noch vier weitere Personen mit unterschiedelichen Behinderungen. "
Taetigkeiten,Brainstorming,A group of people with and without disabilities is sitting together at a round table. Above their heads are 'question marks' and 'light bulbs'. They are looking for ideas and solutions together.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_brainstorming-rgb.jpg,Cartoon picture of Brainstorming - A group of people with and without disabilities is sitting together at a round table. Above their heads are 'question marks' and 'light bulbs'. They are looking for ideas and solutions together.,Brainstorming,"Eine Gruppe von Menschen mit und ohne Behinderung sitzt gemeinsam an einem runden Tisch. Neben ihren Koepfen sind ""Fragezeichen"" und ""Laempchen"" dargestellt. Sie such gemeinsam nach Ideen und Loesungen. "
Taetigkeiten,Yoga,"Three people are shown on mats, and one person is in a wheelchair. Their hands are raised upward. They stretch the backsides by holding one hand with the other and pulling slightly.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_yoga.jpg,"Cartoon picture of Yoga - Three people are shown on mats, and one person is in a wheelchair. Their hands are raised upward. They stretch the backsides by holding one hand with the other and pulling slightly.",Yoga,"Abgebildet sind drei Personen auf Fussmatten und eine Person im Rollstuhl. Ihre Haende sind nach oben gestreckt. Sie dehnen die Rueckenseiten, indem sie mit einer Hand die andere halten und sie leicht ziehen. "
Taetigkeiten,Demonstration,"A group of people with and without disabilities, including those with invisible disabilities, stands in front of the Bundestag in Berlin. The participants are holding signs and have emotional expressions. They are protesting against something.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_demonstration-rgb.jpg,"Cartoon picture of Demonstration - A group of people with and without disabilities, including those with invisible disabilities, stands in front of the Bundestag in Berlin. The participants are holding signs and have emotional expressions. They are protesting against something.",Demonstration,Eine Gruppe von Mensch mit und ohne Behiderungen bzw. mit nicht-sichtbaren Behinderungen steht vor dem Bundestag in Berlin. Die Teilnehmenden halten Plakate und haben emotionale Gesichtsausdruecke. Sie protesieren gegen etwas. 
Taetigkeiten,Cafeteria,"Depicted is a cafeteria with three tables and visitors eating and/or drinking. In the background of the picture, there is a refrigerator, a display case with fruit, cake, and drinks, as well as a cash register.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_cafete1.jpg,"Cartoon picture of Cafeteria - Depicted is a cafeteria with three tables and visitors eating and/or drinking. In the background of the picture, there is a refrigerator, a display case with fruit, cake, and drinks, as well as a cash register.",Cafeteria,"Abgebildet ist eine Cafeteria mit drei Tischen und Besuchern, die etwas essen und/oder trinken. Im Hintergrund des Bildes ist ein Kuehlschrank, eine Vitrine mit Obst, Kuchen und Getraenken sowie ein Kassenapparat. "
Koerperlicher Zustand/Beschwerde,Balance Disorder,"A woman with a striped T-shirt holds onto a wall with one hand. She appears stressed and uncertain. With the other hand, she also searches for support.",https://www.lag-sb-rlp.de/images/phocagallery/Beschwerden/thumbs/phoca_thumb_l_b94-gleichgewichtsstoerungen-cmyk.jpg,"Cartoon picture of Balance Disorder - A woman with a striped T-shirt holds onto a wall with one hand. She appears stressed and uncertain. With the other hand, she also searches for support.",Gleichgewichtsstoerung,Eine Frau mit gestreiftem T-Shirt haelt sich mit einer Hand an einer Wand fest. Sie wirkt gestresst und verunsichert. Mit der anderen Hand sucht sie ebenfalls nach Halt.
Koerperlicher Zustand/Beschwerde,Trouble Smelling,A lady smells a cut lemon and doesn't recognize the smell.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_probleme-beim-riechen-rgb.jpg,Cartoon picture of Trouble Smelling - A lady smells a cut lemon and doesn't recognize the smell.,Probleme beim Riechen ,Eine Dame riecht an einer zerschnittenen Zitrone und erkennt den Geruch nicht. 
Koerperlicher Zustand/Beschwerde,Lung Overload,Illustration of heart and lungs connected to each other. A lot of blood flows into the lungs.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_lungenueberflutung-cmyk.jpg,Cartoon picture of Lung Overload - Illustration of heart and lungs connected to each other. A lot of blood flows into the lungs.,Lungenueberflutung,"Abbildung von Herz und Lunge, die miteinander verbunden sind. In die Lunge fliesst sehr viel Blut ein."
Koerperlicher Zustand/Beschwerde,Foot Amputation,"A woman sits on the floor with her legs crossed. She has freckles on her face, her hair tied up, and her nails painted red. Her right foot is missing.",https://www.lag-sb-rlp.de/images/phocagallery/Beschwerden/thumbs/phoca_thumb_l_fuamputation-cmyk.jpg,"Cartoon picture of Foot Amputation - A woman sits on the floor with her legs crossed. She has freckles on her face, her hair tied up, and her nails painted red. Her right foot is missing.",Fussamputation ,"Eine Frau sitzt mit gekreuzten Beinen auf dem Boden. Sie hat Sommersprossen im Gesicht, ihre Haare hochgebunden und die Naegel rot lackiert. Ihr rechter Fuss fehlt."
Koerperlicher Zustand/Beschwerde,Seeing Blurred,A young woman looks into a mirror. Her reflection is blurry.,https://www.lag-sb-rlp.de/images/phocagallery/Beschwerden/thumbs/phoca_thumb_l_verschwommen-sehen-cmyk.jpg,Cartoon picture of Seeing Blurred - A young woman looks into a mirror. Her reflection is blurry.,verschwommen sehen,Eine junge Frau blickt in einen Spiegel. Ihr Spiegelbild ist verschwommen.
Gesundheitsfoerderung,Arrangement of Nursing Services,"Two women are talking in front of a car labeled 'Home Care Service'. The first woman has a thought bubble. In the thought bubble, an older woman in a hospital bed can be seen. The second lady wears a T-shirt labeled 'Home Care Service'. She also has a thought bubble. There, the older woman in the hospital bed is seen with a home care service worker. They shake hands.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e108_vermittlung von pflegediensten.jpg,"Cartoon picture of Arrangement of Nursing Services - Two women are talking in front of a car labeled 'Home Care Service'. The first woman has a thought bubble. In the thought bubble, an older woman in a hospital bed can be seen. The second lady wears a T-shirt labeled 'Home Care Service'. She also has a thought bubble. There, the older woman in the hospital bed is seen with a home care service worker. They shake hands.",Vermittlung von Pflegediensten,Zwei Frauen unterhalten sich vor einem Auto mit der Aufschrift Pflegedienst. Die erste Frau hat eine Denkblase. In der Denkblase ist eine aeltere Damen im Krankbett zu erkennen. Die zweite Dame traegt ein T-Shirt mit der Aufschrift Pflegedienst. Sie hat ebenfalls eine Denkblase. Dort ist die aeltere Dame im Krankenbett mit einer Pflegedienst-Mitarbeiterin zu sehen. Sie geben sich die Haende.
Gesundheitsfoerderung,Breathing Techniques,A blonde woman sits cross-legged. She holds one hand on her stomach and breathes heavily.,https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d102-atemtechniken-therapie-cmyk.jpg,Cartoon picture of Breathing Techniques - A blonde woman sits cross-legged. She holds one hand on her stomach and breathes heavily.,Atemtechniken,Eine blonde Frau sitzt im Schneidersitz. Sie haelt eine Hand auf ihren Bauch und atmet stark aus oder ein.
Gesundheitsfoerderung,Psychotherapy (Descriptive Speech Bubble),Two men sit facing each other in red armchairs. One man holds his forehead while speaking. The other man takes notes.,https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d59-psychotherapie2-cmyk.jpg,Cartoon picture of Psychotherapy (Descriptive Speech Bubble) - Two men sit facing each other in red armchairs. One man holds his forehead while speaking. The other man takes notes.,Psychotherapie (beschreibbare Sprechblase),"Zwei Maenner sitzen sich gegenueber in roten Sesseln. Der eine Mann haelt sich die Stirn, waehrend er spricht. Der andere Mann macht sich Notizen."
Gesundheitsfoerderung,Center for Rare Diseases,A man in a white coat examines a toddler. He is seen again looking into a microscope. In the background is a large building with the inscription 'Center'.,https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d12-zentrum-fr-seltene-erkrankung-cmyk.jpg,Cartoon picture of Center for Rare Diseases - A man in a white coat examines a toddler. He is seen again looking into a microscope. In the background is a large building with the inscription 'Center'.,Zentrum fuer seltene Erkrankung,"Ein Mann in weissem Kittel untersucht ein Kleinkind. Er ist noch einmal zu sehen, wie er in ein Mikroskop schaut. Im Hintergrund ist ein grosses Gebaeude mit der Aufschrift ""Zentrum""."
